Year,Round,Score,Overall Score,Overall Rank,Round rank,Trades made,Trades remaining
2021,1,877,877,16741,16741,0,34
2021,2,916,1793,14730,16858,1,33
2021,3,807,2600,23534,49960,1,32
2021,4,963,3563,23054,26658,2,30
2021,5,950,4513,23627,28430,2,28
2021,6,893,5406,25661,41364,1,27
2021,7,783,6189,29455,60721,2,25
2021,8,804,6993,31837,57575,2,23
2021,9,900,7893,31039,28180,2,21
2021,10,941,8834,30559,34750,1,20
2021,11,867,9702,31905,48391,2,18
2021,12,780,10474,34084,67283,0,18
2021,13,626,11108,30059,8627,3,15
2021,14,530,11638,34045,102153,0,15
2021,15,935,12573,34123,39078,4,11
2021,16,735,13308,35934,74193,2,9
2021,17,431,13739,33069,9389,3,6
2021,18,759,14498,34203,57252,2,4
2021,19,949,15447,34722,43484,1,3
2021,20,815,16262,35535,54134,2,1
2021,21,821,17083,35483,40596,1,0
2021,22,969,18052,33745,7816,0,0
2021,23,1045,19097,30985,5817,0,0
2021,24,989,20086,29731,11552,0,0
2021,25,883,20969,29445,32886,0,0
2022,1,858,858,10248,10248,0,36
2022,2,817,1675,4078,2827,0,36
2022,3,929,2604,1622,1491,1,35
2022,4,913,3517,1856,8679,2,33
2022,5,820,4337,1994,10656,1,32
2022,6,766,5103,2943,29397,0,32
2022,7,959,6052,2151,4204,2,30
2022,8,931,6993,1140,615,2,28
2022,9,866,7878,1474,19260,1,27
2022,10,725,8603,2814,48556,1,26
2022,11,884,9487,2937,10746,2,24
2022,12,882,10369,2831,8050,2,22
2022,13,563,10932,2637,9978,3,19
2022,14,946,11878,2527,6808,2,17
2022,15,945,12823,2402,7131,2,15
2022,16,866,13689,2560,15355,1,14
2022,17,439,14128,2311,15479,3,11
2022,18,983,15111,2092,3216,3,8
2022,19,941,16054,2192,9134,2,6
2022,20,868,16920,2091,13830,2,4
2022,21,1043,17963,2122,5729,2,2
2022,22,987,18950,2148,8205,0,2
2022,23,936,19886,2511,17214,2,0
2022,24,880,20766,2496,9273,0,0
2022,25,851,21617,2412,6743,0,0
2023,1,851,851,3019,3019,0,44
2023,2,669,1520,28823,92451,0,44
2023,3,732,2252,38658,65857,2,42
2023,4,959,3211,24675,11490,2,40
2023,5,1008,4219,15044,5325,2,38
2023,6,919,5138,10695,6839,1,37
2023,7,811,5949,8272,6011,3,34
2023,8,882,6831,6182,4100,0,34
2023,9,850,7681,6388,22373,3,31
2023,10,1004,8685,3996,1664,0,31
2023,11,804,9489,7823,65395,2,29
2023,12,958,10447,6755,11338,3,26
2023,13,570,11017,6533,20146,2,24
2023,14,775,11792,6666,21955,3,21
2023,15,1082,12874,5230,2301,2,19
2023,16,537,13421,7214,37277,2,17
2023,17,843,14264,7118,14679,2,15
2023,18,856,15120,8614,34292,2,13
2023,19,598,15718,8705,21839,2,11
2023,20,903,16621,8812,18005,2,9
2023,21,937,17558,8486,8793,3,6
2023,22,927,18485,7905,8987,1,5
2023,23,1122,19607,7510,5574,2,3
2023,24,912,20519,7231,7176,2,1
2023,25,1051,21570,6538,2585,0,1
2023,26,785,22355,7475,42103,1,0
2023,27,787,23142,6485,13963,0,0
2024,1,713,713,35929,35929,0,44
2024,2,763,1476,39078,56900,1,43
2024,3,807,2283,14030,6772,2,41
2024,4,542,2825,49607,147678,2,39
2024,5,671,3496,54693,79916,2,37
2024,6,843,4339,46558,32790,2,35
2024,7,706,5045,49071,69203,2,33
2024,8,810,5855,48617,55197,2,31
2024,9,890,6745,40616,15520,3,28
2024,10,771,7516,36200,18410,1,27
2024,11,998,8514,29951,4332,3,24
2024,12,875,9389,24668,7657,2,22
2024,13,676,10065,17366,9515,2,20
2024,14,707,10772,18269,47420,2,18
2024,15,723,11495,20618,75927,3,15
2024,16,702,12197,16432,10390,0,15
2024,17,767,12964,15965,24365,1,14
2024,18,1087,14051,11461,452,2,12
2024,19,708,14759,7975,901,0,12
2024,20,894,15653,6760,7003,3,9
2024,21,1050,16703,5986,4703,3,6
2024,22,866,17569,6922,38766,3,3
2024,23,809,18378,8022,55715,1,2
2024,24,1048,19426,5852,132,1,1
2024,25,902,20328,6374,27730,1,0
2024,26,923,21251,5320,4952,0,0
2024,27,895,22146,5121,11455,0,0
2025,1,887,887,22603,22603,0,44
2025,2,895,1782,27298,36204,2,42
2025,3,860,2642,14339,16071,2,40
2025,4,920,3562,9478,6851,2,38
2025,5,753,4315,12779,64212,2,36
2025,6,893,5208,13131,24621,2,34
2025,7,951,6159,13963,27643,1,33
2025,8,977,7136,14870,34740,2,31
2025,9,1110,8246,12105,10623,2,29
2025,10,974,9220,11387,19577,1,28
2025,11,932,10152,10152,19026,3,25
2025,12,740,10892,9730,18171,2,23
2025,13,757,11649,10073,32721,2,21
2025,14,936,12585,12386,44002,1,20
2025,15,757,13342,11018,13376,3,17
2025,16,783,14125,10403,17961,0,17
2025,17,923,15048,10790,27614,3,14
2025,18,689,15737,9627,13313,2,12
2025,19,621,16358,11195,54075,0,12
2025,20,874,17232,11420,30607,3,9
2025,21,945,18177,11668,21507,3,6
2025,22,927,19104,10415,4470,2,4
2025,23,889,19993,10825,26143,3,1
2025,24,1024,21017,10303,12597,0,1
2025,25,1064,22081,9236,5608,0,1
2025,26,1037,23118,8943,19329,0,1
